,,,,,,,2020,,2021,,2022,,,,,
AC VOLT METER,,,,,,,,,,,,,,,,
Sl No,GIG,MAKE/MODEL,WING/UNIT,DUT SL NO,RANGE,,,,,,,,,,,
,,,,,,CAL POINT,OBSERVED VALUE,ERROR %,OBSERVED VALUE,ERROR %,OBSERVED VALUE,ERROR %,,,,
1,476021,AE,01 WG /SRI NAGAR,9/89/1281/110,100-500 V,VOLTAGE,VOLTAGE,±,VOLTAGE,±,VOLTAGE,±,,,,
,,,,,,200 V,200,0.0,200,0.0,200,0.0,,,,
,,,,,,300 V,300,0.0,300,0.0,300,0.0,,,,
,,,,,,400 V,400,0.0,400,0.0,400,0.0,,,,
,,,,,,500 V,500,0.0,500,0.0,500,0.0,,,,
Sl No,GIG,MAKE/MODEL,WING/UNIT,DUT SL NO,RANGE,CAL POINT,OBSERVED VALUE,ERROR %,OBSERVED VALUE,ERROR %,OBSERVED VALUE,ERROR %,,,,
,,,,,,,,,,,,,,,,
2,476021,AE,263 SU/BIKANER,64413,100-500 V,VOLTAGE,VOLTAGE,±,VOLTAGE,±,VOLTAGE,±,,,,
,,,,,,200 V,200,0.0,200,0.0,200,0.0,,,,
,,,,,,300 V,300,0.0,300,0.0,300,0.0,,,,
,,,,,,400 V,400,0.0,400,0.0,400,0.0,,,,
,,,,,,500 V,500,0.0,500,0.0,500,0.0,,,,
Sl No,GIG,MAKE/MODEL,WING/UNIT,DUT SL NO,RANGE,CAL POINT,OBSERVED VALUE,ERROR %,OBSERVED VALUE,ERROR %,OBSERVED VALUE,ERROR %,,,,
,,,,,,,,,,,,,,,,
3,476021,AE,17 WG/GORAKHPUR,F820415,100-500 V,VOLTAGE,VOLTAGE,±,VOLTAGE,±,VOLTAGE,±,,,,
,,,,,,200 V,200,0.0,200,0.0,200,0.0,,,,
,,,,,,300 V,300,0.0,300,0.0,300,0.0,,,,
,,,,,,400 V,400,0.0,400,0.0,400,0.0,,,,
,,,,,,500 V,500,0.0,500,0.0,500,0.0,,,,
Sl No,GIG,MAKE/MODEL,WING/UNIT,DUT SL NO,RANGE,CAL POINT,OBSERVED VALUE,ERROR %,OBSERVED VALUE,ERROR %,OBSERVED VALUE,ERROR %,,,,
,,,,,,,,,,,,,,,,
4,476021,AE,40 WG/GWALIOR,DG7/035524,100-500 V,VOLTAGE,VOLTAGE,±,VOLTAGE,±,VOLTAGE,±,,,,
,,,,,,200 V,200,0.0,200,0.0,200,0.0,,,,
,,,,,,300 V,300,0.0,300,0.0,300,0.0,,,,
,,,,,,400 V,400,0.0,400,0.0,400,0.0,,,,
,,,,,,500 V,500,0.0,500,0.0,500,0.0,,,,
Sl No,GIG,MAKE/MODEL,WING/UNIT,DUT SL NO,RANGE,CAL POINT,OBSERVED VALUE,ERROR %,OBSERVED VALUE,ERROR %,OBSERVED VALUE,ERROR %,,,,
,,,,,,,,,,,,,,,,
5,476021,AE,9 WG/HALWARA,99/1033,100-500 V,VOLTAGE,VOLTAGE,±,VOLTAGE,±,VOLTAGE,±,,,,
,,,,,,200 V,200,0.0,200,0.0,200,0.0,,,,
,,,,,,300 V,300,0.0,300,0.0,300,0.0,,,,
,,,,,,400 V,400,0.0,400,0.0,400,0.0,,,,
,,,,,,500 V,500,0.0,500,0.0,500,0.0,,,,
DC AMMETER,,,,,,,,,,,,,,,,
Sl No,GIG,MAKE/MODEL,WING/UNIT,DUT SL NO,RANGE,CAL POINT,OBSERVED VALUE,ERROR %,OBSERVED VALUE,ERROR %,OBSERVED VALUE,ERROR %,,,,
,,,,,,,,,,,,,,,,
